-----------Home----------
||||||||||||||
||||||||||||||
||||||||||||||
|Zeevisserij : Belgische vangst gelost in België|||||||||||||
|Maandresultaten 2021|||||||||||||
|De visserijstatistiek omvat zowel de hoeveelheden als de waarde van de vis die rechtstreeks in onze havens wordt aangevoerd en verkocht door Belgische vaartuigen.

Per aanvoerhaven worden de vangsten opgesplitst volgens vissoort. Deze resultaten worden maandelijks verzameld door de dienst Landbouw en Visserij van de Vlaamse overheid, die op nationaal vlak verantwoordelijk is voor het verzamelen van deze informatie op hun grondgebied.

|||||||||||||
||||||||||||||
||2021||||||||||||
||Januari|202101|Mei|202105|September|202109|||||||
||Februari|202102|Juni|202106|Oktober|202110|||||||
||Maart|202103|Juli|202107|November|202111|||||||
||April|202104|Augustus|202108|December|202112|||||||
||||||||||||||
||||||||||||||
||||||||||||||
----------------------------------
-----------202101----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Januari 2021|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|890059|2900053,6099999994|348030|1206032,4300000004|528805|1640672,3900000006|13224|53348,79|
|||||||||
Bodemvissen :|||||||||
Totaal|638279|2140932,7199999997|243168|844409,9700000002|386813|1269364,2600000002|8298|27158,49|
Schelvis|2939|3415,6299999999997|1269|1984,77|1670|1430,8600000000001|-|-|
Kabeljauw|6885|20619,370000000003|3737|11131,530000000004|3119|9419,270000000002|29|68,57|
Koolvis|315|286,65|214|198,94|101|87,71000000000001|-|-|
Wijting|18797|25356,460000000017|8110|12755,93|10437|12390,740000000002|250|209,79000000000002|
Pollak|243|975,4599999999998|99|414,2|143|557,77|1|3,49|
Leng|394|1058,2300000000002|177|437,24|217|620,99|-|-|
Heek|196|440,50999999999993|144|358,70000000000005|52|81,81|-|-|
Steenbolk|37128|20685,19999999999|10458|7091,01|26186|13179,429999999998|484|414,76|
Schol|218394|398771,53999999975|87790|157647,68|127688|236546,8800000001|2916|4576,9800000000005|
Bot|753|304,49|230|96,62|221|70,74|302|137,13000000000002|
Schar|6542|4326,569999999999|2035|1368,99|3872|2493,5700000000006|635|464,01|
Tong|67741|786728,3300000003|24507|293095,91000000015|42092|480100,9499999999|1142|13531,470000000001|
Tarbot|12968|125917,51999999996|5519|52831,04000000002|7225|71127,85000000008|224|1958,6299999999999|
Griet|12080|88513,64000000007|4624|35681,22000000001|7203|51034,65|253|1797,77|
Tongschar|14207|62117,14000000001|6192|26893,91999999999|7966|34965,119999999995|49|258,1|
Schartong|1891|6308,8099999999995|1376|4574,88|515|1733,93|-|-|
Heilbot|109|1477,15|59|774,87|50|702,28|-|-|
Hondstong|311|772,46|215|491,2|96|281,26|-|-|
Rog|49814|134446,7999999998|20062|59926,97999999999|29092|72841,18000000001|660|1678,64|
Rode poon|55618|68259,11999999998|22707|31625,410000000007|32509|36283,100000000006|402|350,61|
Grauwe poon|2105|503,12000000000006|1661|385|444|118,12|-|-|
Engelse poon|52735|36618,44|15336|10449,050000000001|37295|26108,18999999999|104|61,199999999999996|
Zeewolf|362|1325,9099999999999|213|761,8000000000001|149|564,11|-|-|
Zeeduivel|29226|253114,35999999996|10994|94309,99|18106|157814,2500000001|126|990,1200000000001|
Kongeraal|4541|3074,990000000002|1637|822,4599999999997|2904|2252,53|-|-|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|6152|28934,04|2427|11541,87|3704|17346,9|21|45,27|
Zeebaars|2503|20482,88000000001|984|8919,560000000001|1497|11410,37|22|152,95|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|26194|18356,089999999993|8075|7060,6900000000005|17586|11110,75|533|184,65|
Zandhaai|205|163,95000000000002|186|159,96|19|3,99|-|-|
Andere soorten|6931|27577,860000000008|2131|10618,549999999997|4655|16684,96000000001|145|274,35|
|||||||||
Pelagische vis :|||||||||
Totaal|10461|9115,61|5394|5106,64|4824|3839,8599999999997|243|169,10999999999999|
Horsmakreel|6253|3502,5200000000004|3242|1748,3400000000001|3011|1754,1799999999998|-|-|
Haring|2010|633,72|755|287,57|1125|321,95|130|24,2|
Makreel|1613|4278,02|928|2523,35|685|1754,67|-|-|
Sprot|116|153,97|-|-|3|9,06|113|144,91|
Andere soorten|469|547,38|469|547,38|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|241319|750005,2799999998|99468|356515,8200000002|137168|367468,27000000025|4683|26021,19|
Garnaal|7218|43853,55999999999|2641|13837,94|1337|6866,57|3240|23149,05|
Langoestine|12323|91868,99000000003|7433|55728,229999999996|4890|36140,76|-|-|
Noordzeekrab|1746|11425,7|705|4589,300000000001|1027|6826,6|14|9,8|
Zeekreeft|24|212,51000000000002|6|46,400000000000006|18|166,10999999999999|-|-|
Andere schaaldieren|1659|2789,2499999999995|372|715,8500000000001|1205|1949,58|82|123,82|
Schelpen|42919|49133,24000000002|16021|18122,739999999998|26520|30559,279999999988|378|451,22|
Inktvis|171851|548950,7499999997|71047|262894,09000000014|99985|283851,8600000002|819|2204,8|
Wulk|3579|1771,2800000000002|1243|581,27|2186|1107,5100000000002|150|82,5|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
*Bron: Statbel (Algemene directie Statistiek - Statistics Belgium) op basis van de departementt Landbouw en visserij van de Vlaamse Overheid, ABCO.|||||||||
|||||||||
----------------------------------
-----------202102----------
Zeevisserij : Belgische vangst gelost in België|||||||||
Hoeveelheid en waarde van de vis in België aangevoerd  en verkocht|||||||||
Verdeling volgens de aanvoerhavens en de vissoorten - Februari 2021|||||||||
Vissoorten|Totaal van de havens||Oostende||Zeebrugge||Nieuwpoort||
|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|Totale hoeveelheid kg|Totale waarde EUR|
Algemeen totaal|1077483|3840500,4800000014|390436|1294632,5300000003|675660|2476015,5599999996|11387|69852,39000000003|
|||||||||
Bodemvissen :|||||||||
Totaal|847469|3210960,9400000013|286635|1000294,9300000002|550553|2145016,7399999998|10281|65649,27000000002|
Schelvis|12894|13741,379999999994|1672|1221,6799999999998|11222|12519,699999999997|-|-|
Kabeljauw|11517|39085,25|1367|4301,110000000001|10149|34782,02999999999|1|2,11|
Koolvis|131|125,16000000000001|2|2,54|129|122,62|-|-|
Wijting|26448|20117,22|10000|6344,059999999996|16403|13739,620000000003|45|33,540000000000006|
Pollak|2253|7751,39|278|1023,2899999999998|1975|6728,099999999999|-|-|
Leng|1562|4107,68|247|594,8|1315|3512,8800000000006|-|-|
Heek|1143|2753,94|115|408,96|1028|2344,98|-|-|
Steenbolk|43946|16465,809999999998|19530|6667,16|24228|9646,640000000001|188|152,01|
Schol|205710|335402,38|56108|92711,29999999997|149098|242028,0799999998|504|663|
Bot|7158|2167,7799999999997|3826|1100,4|3056|921,24|276|146,14|
Schar|17726|11985,79|2651|1962,9299999999996|14568|9644,030000000004|507|378,83000000000004|
Tong|175010|1664537,410000001|51565|491771,25000000035|116257|1114808,1700000004|7188|57957,99000000001|
Tarbot|15105|158443,74999999997|4701|51762,73000000002|10257|105049,07999999996|147|1631,9399999999998|
Griet|17184|122973,36999999991|6248|45936,08|10697|75192,68000000005|239|1844,61|
Tongschar|24070|97898,61000000002|5584|25353,380000000005|18434|72339,72999999994|52|205,5|
Schartong|8769|26662,52|1109|3608,9900000000002|7660|23053,53|-|-|
Heilbot|106|1208,58|37|375,93|69|832,65|-|-|
Hondstong|1709|3859,99|349|759,3399999999999|1360|3100,65|-|-|
Rog|52560|177626,5699999999|16902|63844,84000000001|35386|112729,23999999999|272|1052,49|
Rode poon|66160|86391,63999999996|32244|41284,63000000001|33439|43966,670000000006|477|1140,3400000000001|
Grauwe poon|2172|602,22|1428|418,32|744|183,89999999999998|-|-|
Engelse poon|59853|58047,130000000034|28444|27760,27|31395|30275,940000000006|14|10,92|
Zeewolf|628|2190,27|-|-|628|2190,27|-|-|
Zeeduivel|25202|239035,77|9523|89197,80999999998|15657|149608,8799999999|22|229,07999999999998|
Kongeraal|5071|4048,209999999999|2824|2296,2299999999996|2243|1751,26|4|0,72|
Roodbaars|-|-|-|-|-|-|-|-|
Mul|7855|39976,289999999986|2094|9769,790000000005|5761|30206,499999999993|-|-|
Zeebaars|1327|8426,859999999997|610|4194,089999999999|715|4216,119999999999|2|16,65|
Doornhaai|-|-|-|-|-|-|-|-|
Hondshaai|45261|30295,059999999983|23439|11406,719999999998|21482|18709,389999999992|340|178,95|
Zandhaai|94|93,56|49|62,51|45|31,05|-|-|
Andere soorten|8845|34939,35000000003|3689|14153,789999999997|5153|20781,110000000022|3|4,45|
|||||||||
Pelagische vis :|||||||||
Totaal|5470|3681,61|3161|1412,87|2281|2256,42|28|12,32|
Horsmakreel|4448|1495,0700000000002|2920|909,6|1528|585,47|-|-|
Haring|195|259,03000000000003|100|87,4|93|169,19|2|2,44|
Makreel|795|1883,1299999999999|141|415,86999999999995|654|1467,26|-|-|
Sprot|32|44,38|-|-|6|34,5|26|9,88|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
Schaal-en weekdieren :|||||||||
Totaal|224544|625857,9300000002|100640|292924,73|122826|328742,4|1078|4190,8|
Garnaal|3497|29317,850000000002|2200|17233,039999999997|1091|10138,269999999999|206|1946,54|
Langoestine|4367|33353,520000000004|3337|23763,69|1030|9589,83|-|-|
Noordzeekrab|1422|12768,520000000004|513|4580,849999999999|884|8137,42|25|50,25|
Zeekreeft|26|307,05999999999995|15|170,38|11|136,67999999999998|-|-|
Andere schaaldieren|1360|3321,9500000000007|586|1622,1900000000005|750|1651,5200000000002|24|48,24|
Schelpen|62367|79388,61000000003|26896|34025,600000000006|35131|44661,21000000001|340|701,8|
Inktvis|144887|463314,7100000002|64583|209482,90999999997|79996|252598,83000000002|308|1232,97|
Wulk|6618|4085,7099999999996|2510|2046,0700000000002|3933|1828,6400000000006|175|211|
Andere soorten|-|-|-|-|-|-|-|-|
|||||||||
